A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
G00.9,Bakteryjne zapalenie opon mózgowych, nieokreślone
G01,Zapalenie opon mózgowych w chorobach bakteryjnych sklasyfikowanych gdzie indziej
G02.0,Zapalenie opon mózgowych w chorobach wirusowych sklasyfikowanych gdzie indziej
G02.1,Zapalenie opon mózgowych w grzybicach
G02.8,Zapalenie opon mózgowych w innych określonych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G03.0,Nieropne zapalenie opon mózgowych
G03.1,Przewlekłe zapalenie opon mózgowych
G03.2,Łagodne nawrotowe zapalenie opon mózgowych [Mollareta]
G03.8,Zapalenie opon mózgowych wywołane przez inne określone czynniki
G03.9,Zapalenie opon mózgowych, nieokreślone
G04.0,Ostre rozsiane zapalenie mózgu
G04.1,Tropikalne kurczowe porażenie kończyn dolnych
G04.2,Bakteryjne zapalenie opon mózgowych i mózgu oraz zapalenie opon mózgowych i rdzenia niesklasyfikowane gdzie indziej
G04.8,Inne zapalenia mózgu, rdzenia kręgowego oraz rdzenia kręgowego i mózgu
G04.9,Zapalenie mózgu oraz zapalenie mózgu i rdzenia kręgowego, nieokreślone
G05.0,Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w chorobach bakteryjnych sklasyfikowanych gdzie indziej
G05.1,Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w chorobach wirusowych sklasyfikowanych gdzie indziej
G05.2,Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w innych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G05.8,Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w innych chorobach sklasyfikowanych gdzie indziej
G06.0,Ropień i ziarniniak śródczaszkowy
G06.1,Ropień i ziarniniak w kanale kręgowym
G06.2,Zewnątrztwardówkowy i podtwardówkowy ropień, nieokreślony
G07,Ropień i ziarniniak śródczaszkowy i w kanale kręgowym w chorobach sklasyfikowanych gdzie indziej
G08,Zapalenie żył i zakrzepowe zapalenie żył śródczaszkowych i w kanale kręgowym
G10,Choroba Huntingtona
G11.0,Bezład wrodzony niepostępujący
G11.1,Bezład móżdżkowy o wczesnym początku
G11.2,Bezład móżdżkowy o późnym początku
G11.3,Bezład móżdżkowy z wadliwym systemem naprawy DNA
G11.4,Dziedziczne kurczowe porażenie kończyn dolnych
G11.8,Inne bezłady dziedziczne
G11.9,Bezład dziedziczny, nieokreślony
G12.0,Zanik mięśni pochodzenia rdzeniowego dziecięcy, typu I [Werdniga-Hoffmana]
G12.1,Inne dziedziczne zaniki mięśni pochodzenia rdzeniowego
G12.2,Stwardnienie boczne zanikowe
G12.8,Inne zaniki mięśni pochodzenia rdzeniowego i zespoły pokrewne
G12.9,Zanik mięśni pochodzenia rdzeniowego, nieokreślony
G13.0,Paranowotworowa neuromiopatia i neuropatia
G13.1,Inne zaniki układowe pierwotnie zajmujące układ nerwowy w chorobie nowotworowej
G13.2,Zanik układowy pierwotnie zajmujący układ nerwowy w niedoczynności tarczycy (E00.1+, E03.-+)
G13.8,Zanik układowy pierwotnie zajmujący układ nerwowy w innych chorobach sklasyfikowanych gdzie indziej
G20,Choroba Parkinsona
G21.0,Złośliwy zespół neuroleptyczny
G21.1,Parkinsonizm wtórny wywołany innymi lekami
G21.2,Parkinsonizm wtórny wywołany innymi czynnikami zewnętrznymi
G21.3,Parkinsonizm po zapaleniu mózgu
G21.8,Inny parkinsonizm wtórny
G21.9,Parkinsonizm wtórny, nieokreślony
G22,Parkinsonizm w chorobach sklasyfikowanych gdzie indziej
G23.0,Choroba Hellervordena-Spatza
G23.1,Postępujące ponadjądrowe porażenie mięśni oka [Steela-Richardsona-Olszewskiego]
G23.2,Zwyrodnienie prążkowia i istoty czarnej [striatonigralis degeneratio]
G23.8,Inne określone choroby zwyrodnieniowe jąder podstawy
G24.0,Dystonia wywołana przez leki
G24.1,Dystonia samoistna rodzinna
G24.2,Dystonia samoistna niedziedziczna
G24.3,Kurczowy kręcz karku
G24.4,Dystonia samoistna w obrębie twarzy
G24.5,Kurcz powiek
G24.8,Inne dystonie
G24.9,Dystonia, nieokreślona
G25.0,Drżenie samoistne
G25.1,Drżenie polekowe
G25.2,Inne określone formy drżenia
G25.3,Mioklonia
G25.4,Pląsawica polekowa
G25.5,Inna pląsawica
G25.6,Polekowe i inne tiki pochodzenia organicznego
G25.8,Inne określone zaburzenia pozapiramidowe i zaburzenia czynności ruchowych
G25.9,Zaburzenia pozapiramidowe i zaburzenia czynności ruchowych, nieokreślone
G26,Zaburzenia pozapiramidowe i zaburzenia czynności ruchowych w chorobach sklasyfikowanych gdzie indziej
G30.0,Choroba Alzheimera o wczesnym początku
G30.1,Choroba Alzheimera o późnym początku
G30.8,Otępienie typu alzheimerowskiego
G30.9,Choroba Alzheimera, nieokreślona
G31.0,Zanik mózgu ograniczony
G31.1,Starcze zwyrodnienie mózgu niesklasyfikowane gdzie indziej
G31.2,Zwyrodnienie układu nerwowego wywołane przez alkohol
G31.8,Inne określone choroby zwyrodnieniowe układu nerwowego
G31.9,Choroby zwyrodnieniowe układu nerwowego, nieokreślone
G32.0,Podostre złożone zwyrodnienie rdzenia kręgowego w chorobach sklasyfikowanych gdzie indziej
G32.8,Inne określone zaburzenia zwyrodnieniowe układu nerwowego występujące w chorobach sklasyfikowanych gdzie indziej
G35,Stwardnienie rozsiane
G36.0,Zapalenie rdzenia i nerwów wzrokowych [zespół Devica]
G36.1,Ostre i podostre krwotoczne zapalenie istoty białej mózgu [Hursta]
G36.8,Inne określone ostre rozsiane demielinizacje
G36.9,Ostre rozsiane demielinizacje, nieokreślone
G37.0,Stwardnienie rozlane
G37.1,Środkowa demielinizacja ciała modzelowatego
G37.2,Mielinoliza środkowa mostu
G37.3,Ostre poprzeczne zapalenie rdzenia w chorobie demielinizacyjnej ośrodkowego układu nerwowego
G37.4,Podostre martwiejące zapalenie rdzenia
G37.5,Stwardnienie koncentryczne [Baló]
G37.8,Inne określone choroby demielinizacyjne ośrodkowego układu nerwowego
G37.9,Choroby demielinizacyjne ośrodkowego układu nerwowego, nieokreślone
G40.0,Padaczka samoistna (ogniskowa) (częściowa) i zespoły padaczkowe z napadami o zlokalizowanym początku
G40.1,Padaczka objawowa (ogniskowa) (częściowa) i zespoły padaczkowe z prostymi napadami częściowymi
G40.2,Padaczka objawowa (ogniskowa) (częściowa) i zespoły padaczkowe ze złożonymi napadami częściowymi
G40.3,Uogólniona samoistna padaczka i zespoły padaczkowe
G40.4,Inne postacie uogólnionej padaczki i zespołów padaczkowych
G40.5,Szczególne zespoły padaczkowe
G40.6,Napady "grand mal", nieokreślone, (z lub bez napadów "petit mal")
G40.7,"Petit mal", nieokreślone, bez napadów "grand mal"
G40.8,Inne padaczki
G40.9,Padaczka, nieokreślona
G41.0,Stan padaczkowy typu "grand mal"
G41.1,Stan padaczkowy typu "petit mal"
G41.2,Złożony częściowy stan padaczkowy
G41.8,Inne stany padaczkowe
G41.9,Stan padaczkowy, nieokreślony
G43.0,Migrena bez aury [migrena prosta]
G43.1,Migrena z aurą [migrena klasyczna]
G43.2,Stan migrenowy
G43.3,Migrena powikłana
G43.8,Inne migreny
G43.9,Migrena, nieokreślona
G44.0,Zespół bólu głowy Hortona [cluster headache syndrome]
G44.1,Naczyniowy ból głowy niesklasyfikowany gdzie indziej
G44.2,Ból głowy typu uciskowego
G44.3,Przewlekły pourazowy ból głowy
G44.4,Polekowy ból głowy niesklasyfikowany gdzie indziej
G44.8,Inne określone zespoły bólu głowy
G45.0,Zespół tętnicy kręgowo-podstawnej
G45.1,Zespół tętnicy szyjnej (półkulowy)
G45.2,Mnogie i obustronne zespoły tętnic przedmózgowych
G45.3,Przejściowe objawy ślepoty [amaurosis fugax]
G45.4,Przemijająca niepamięć całkowita
G45.6,Inne przemijające mózgowe napady niedokrwienia i zespoły pokrewne
G45.9,Przemijające mózgowe napady niedokrwienia, nieokreślone
G46.0,Zespół tętnicy środkowej mózgu (I66.0+)
G46.1,Zespół tętnicy przedniej mózgu (I66.1+)
G46.2,Zespół tętnicy tylnej mózgu (I66.2+)
G46.3,Zespół udarowy pnia mózgu (I60-I67+)
G46.4,Zespół udarowy móżdżku (I60-I67+)
G46.5,Stan zatokowy z zespołem czysto ruchowym (I60-I67+)
G46.6,Stan zatokowy z zespołem czysto czuciowym (I60-I67+)
G46.7,Stan zatokowy z innymi zespołami (I60-I67+)
G46.8,Inne zespoły naczyniowe mózgu w chorobach naczyń mózgowych (I60-I67+)
G47.1,Zaburzenia z nadmierną sennością [hypersomnia]
G47.3,Bezdech senny
G47.4,Narkolepsja i katalepsja
G50.0,Neuralgia nerwu trójdzielnego
G50.1,Bóle twarzy nietypowe
G50.8,Inne zaburzenia nerwu trójdzielnego
G50.9,Zaburzenia nerwu trójdzielnego, nieokreślone
G51.0,"Obwodowe" porażenie nerwu twarzowego [porażenie Bella]
G51.1,Zapalenie zwoju kolanka
G51.2,Zespół Melkerssona
G51.3,Przewlekły skurcz połowy twarzy
G51.4,Miokimia twarzowa
G51.8,Inne zaburzenia nerwu twarzowego
G51.9,Zaburzenia nerwu twarzowego, nieokreślone
G52.0,Zaburzenia nerwu węchowego
G52.1,Zaburzenia nerwu językowo-gardłowego
G52.2,Zaburzenia nerwu błędnego
G52.3,Zaburzenia nerwu podjęzykowego
G52.7,Zaburzenia wielu nerwów czaszkowych
G52.8,Zaburzenia innych określonych nerwów czaszkowych
G52.9,Zaburzenia nerwu czaszkowego, nieokreślone
G53.0,Nerwoból po przebytym półpaścu (B02.2+)
G53.1,Porażenia wielu nerwów czaszkowych w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej (A00-B99+)
G53.2,Porażenia wielu nerwów czaszkowych w sarkoidozie (D86.8+)
G53.3,Porażenia wielu nerwów czaszkowych w chorobach nowotworowych (C00-D48+)
G53.8,Inne zaburzenia nerwów czaszkowych w innych chorobach sklasyfikowanych gdzie indziej
G54.0,Zaburzenia splotu ramiennego
G54.1,Zaburzenia splotu lędźwiowo-krzyżowego
G54.2,Zaburzenia korzeni nerwów rdzeniowych szyjnych niesklasyfikowanych gdzie indziej
G54.3,Zaburzenia korzeni nerwów rdzeniowych piersiowych niesklasyfikowanych gdzie indziej
G54.4,Zaburzenia korzeni nerwów rdzeniowych lędźwiowo-krzyżowych niesklasyfikowanych gdzie indziej
G54.5,Nerwoból z zanikiem mięśni
G54.6,Zespół bólu fantomowego kończyny z bólem
G54.7,Zespół bólu fantomowego kończyny bez bólu
G54.8,Inne zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych
G54.9,Zaburzenia korzeni nerwów rdzeniowych i splotów nerwowych, nieokreślone
G55.0,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w chorobach nowotworowych (C00-D48+)
G55.1,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zaburzeniach krążka międzykręgowego (M50-M5)
G55.2,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w zmianach zwyrodnieniowych kręgów (M47.-+)
G55.3,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych (dolegliwościach kręgosłupa) dorsopatiach (M45-M46, M48.-+, M53-M54+)
G55.8,Ucisk korzeni nerwów rdzeniowych i splotów nerwowych w innych chorobach sklasyfikowanych gdzie indziej
G56.0,Zespół cieśni nadgarstka
G56.1,Inne uszkodzenia nerwu pośrodkowego
G56.2,Uszkodzenie nerwu łokciowego
G56.3,Uszkodzenie nerwu promieniowego
G56.4,Kauzalgia
G56.8,Inne mononeuropatie kończyny górnej
G56.9,Mononeuropatie kończyny górnej nieokreślone
G57.0,Uszkodzenie nerwu kulszowego
G57.1,Zespół nerwu skórnego bocznego uda [neuralgia paraesthetica]
G57.2,Uszkodzenie nerwu udowego
G57.3,Uszkodzenie nerwu strzałkowego wspólnego
G57.4,Uszkodzenie nerwu piszczelowego
G57.5,Zespół kanału stępu
G57.6,Uszkodzenie nerwów podeszwy
G57.8,Inne mononeuropatie kończyny dolnej
G57.9,Mononeuropatia kończyny dolnej, nieokreślona
G58.0,Neuropatia międzyżebrowa
G58.7,Mnogie zapalenie pojedynczych nerwów
G58.8,Inne określone mononeuropatie
G58.9,Mononeuropatia, nieokreślona
G59.0,Mononeuropatia cukrzycowa (E10-E14+ zwykle ze wspólnym czwartym znakiem kodu .4)
G59.8,Inne mononeuropatie w chorobach sklasyfikowanych gdzie indziej
G60.0,Dziedziczna neuropatia ruchowa i czuciowa
G60.1,Choroba Refsuma
G60.2,Neuropatia z towarzyszącą dziedziczną ataksją
G60.3,Neuropatia samoistna postępująca
G60.4,Inne neuropatie dziedziczne i samoistne
G60.9,Neuropatia samoistna i dziedziczna, nieokreślona
G61.0,Zespół Gullaina-Barrego
G61.1,Neuropatia surowicza
G61.8,Inne polineuropatie zakaźne
G61.9,Polineuropatia zakaźna, nieokreślona
G62.0,Polineuropatia wywołana przez leki
G62.1,Polineuropatia alkoholowa
G62.2,Polineuropatia wywołana innymi czynnikami toksycznymi
G62.8,Inne określone polineuropatie
G62.9,Polineuropatia, nieokreślona
G63.0,Polineuropatia w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G63.1,Polineuropatia w chorobach nowotworowych (C00-D48+)
G63.2,Polineuropatia cukrzycowa (E10-E14+ zwykle ze wspólnym czwartym znakiem kodu .4)
G63.3,Polineuropatia w innych chorobach układu wewnątrzwydzielniczego i metabolicznych (E00-E07+, E15-E16+, E20-E34+, E70-E89+)
G63.4,Polineuropatia w niedoborach żywieniowych (E40-E64+)
G63.5,Polineuropatia w układowych stanach chorobowych tkanki łącznej (M30-M35+)
G63.6,Polineuropatia w innych zaburzeniach układu kostno-mięśniowego (M00-M25+, M40-M96+)
G63.8,Polineuropatia w innych chorobach sklasyfikowanych gdzie indziej
G64,Inne zaburzenia obwodowego układu nerwowego
G70.0,Miastenia ciężka rzekomoporaźna
G70.1,Toksyczne zaburzenia nerwowo-mięśniowe
G70.2,Miastenia wrodzona i wieku rozwojowego
G70.8,Inne określone zaburzenia mięśniowo-nerwowe
G70.9,Zaburzenia mięśniowo-nerwowe, nieokreślone
G71.0,Dystrofia mięśniowa
G71.1,Zaburzenia miotoniczne
G71.2,Miopatie wrodzone
G71.3,Miopatia mitochondrialna niesklasyfikowana gdzie indziej
G71.8,Inne pierwotne zaburzenia mięśni
G71.9,Pierwotne zaburzenia mięśni, nieokreślone
G72.0,Miopatia polekowa
G72.1,Miopatia alkoholowa
G72.2,Miopatia wywołana innymi czynnikami toksycznymi
G72.3,Porażenie okresowe
G72.4,Miopatia zapalna niesklasyfikowana gdzie indziej
G72.8,Inne określone miopatie
G72.9,Miopatia, nieokreślona
G73.0,Zespoły miasteniczne w chorobach układu wewnątrzwydzielniczego
G73.1,Zespół Eatona-Lamberta (C80+)
G73.2,Inne zespoły miasteniczne w chorobach nowotworowych (C00-D48+)
G73.3,Zespoły miasteniczne w innych chorobach sklasyfikowanych gdzie indziej
G73.4,Miopatia w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G73.5,Miopatia w chorobach układu wewnątrzwydzielniczego
G73.6,Miopatia w chorobach metabolicznych
G73.7,Miopatia w innych chorobach sklasyfikowanych gdzie indziej
G80.0,Kurczowe porażenie mózgowe
G80.1,Kurczowe porażenie obustronne
G80.2,Dziecięce porażenie połowicze
G80.3,Dyskinetyczne porażenie mózgowe
G80.4,Ataktyczne porażenie mózgowe
G80.8,Inne dziecięce porażenie mózgowe
G80.9,Dziecięce porażenie mózgowe, nieokreślone
G81.0,Wiotkie porażenie połowicze
G81.1,Kurczowe porażenie połowicze
G81.9,Porażenie połowicze, nieokreślone
G82.0,Wiotkie porażenie kończyn dolnych
G82.1,Kurczowe porażenie kończyn dolnych
G82.2,Porażenie kończyn dolnych, nieokreślone
G82.3,Wiotkie porażenie czterokończynowe
G82.4,Kurczowe porażenie czterokończynowe
G82.5,Porażenie czterokończynowe, nieokreślone
G83.0,Porażenie obustronne kończyn górnych
G83.1,Porażenie jednej kończyny dolnej
G83.2,Porażenie jednej kończyny górnej
G83.3,Porażenie jednej kończyny, nieokreślone
G83.4,Zespół ogona końskiego
G83.8,Inne określone zespoły porażenne
G83.9,Zespół porażenny, nieokreślony
G90.0,Samoistna obwodowa neuropatia wegetatywna
G90.1,Dysautonomia rodzinna [Riley-Daya]
G90.2,Zespół Hornera
G90.3,Zwyrodnienie wieloukładowe
G90.8,Inne zaburzenia układu wegetatywnego
G90.9,Zaburzenie układu wegetatywnego, nieokreślone
G91.0,Wodogłowie komunikujące
G91.1,Wodogłowie z niedrożności
G91.2,Wodogłowie normociśnieniowe [zespół Hakima]
G91.3,Wodogłowie pourazowe, nieokreślone
G91.8,Inne wodogłowie
G91.9,Wodogłowie, nieokreślone
G92,Encefalopatia toksyczna
G93.0,Torbiele mózgu
G93.1,Uszkodzenie mózgu z niedotlenienia niesklasyfikowane gdzie indziej
G93.2,Łagodne nadciśnienie wewnątrzczaszkowe
G93.3,Powirusowy zespół zmęczenia
G93.4,Encefalopatia, nieokreślona
G93.5,Zespół uciskowy mózgu
G93.6,Obrzęk mózgu
G93.7,Zespół Reye`a
G93.8,Inne określone zaburzenia mózgu
G93.9,Zaburzenie mózgu, nieokreślone
G94.0,Wodogłowie w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej (A00-B99+)
G94.1,Wodogłowie w chorobach nowotworowych (C00-D48+)
G94.2,Wodogłowie w innych chorobach sklasyfikowanych gdzie indziej
G94.8,Inne określone zaburzenia mózgu w chorobach sklasyfikowanych gdzie indziej
G95.0,Jamistość rdzenia kręgowego i jamistość opuszki
G95.1,Mielopatie naczyniowe
G95.2,Zespół uciskowy rdzenia, nieokreślony
G95.8,Inne określone choroby rdzenia kręgowego
G95.9,Choroba rdzenia kręgowego, nieokreślona
G96.0,Wyciek płynu mózgowo-rdzeniowego
G96.1,Zaburzenia opon niesklasyfikowane gdzie indziej
G96.8,Inne określone zaburzenia ośrodkowego układu nerwowego
G96.9,Zaburzenie ośrodkowego układu nerwowego, nieokreślone
G97.0,Wyciek płynu mózgowo-rdzeniowego z nakłucia lędźwiowego
G97.1,Inne odczyny po nakłuciu lędźwiowym
G97.2,Wewnątrzczaszkowe podciśnienie następujące po przetoce komorowej
G97.8,Inne pozabiegowe zaburzenia układu nerwowego, nieokreślone
G98,Inne zaburzenia układu nerwowego niesklasyfikowane gdzie indziej
G99.0,Neuropatia wegetatywna w chorobach układu wewnątrzwydzielniczego i metabolicznych
G99.1,Inne zaburzenia układu wegetatywnego w innych chorobach sklasyfikowanych gdzie indziej
G99.2,Mielopatia w chorobach sklasyfikowanych gdzie indziej
G99.8,Inne określone zaburzenia układu nerwowego w chorobach sklasyfikowanych gdzie indziej
H00.0,Jęczmień i inne głębokie zapalenie powiek
H00.1,Gradówka
H01.0,Zapalenia brzegów powiek
H01.1,Choroby skóry powiek pochodzenia niezakaźnego
H01.8,Inne, określone zapalenie powiek
H01.9,Zapalenie powiek, nieokreślone
H02.0,Podwinięcie powieki i nieprawidłowy wzrost rzęs
H02.1,Odwinięcie powieki
H02.2,Niedomykalność szpary powiekowej
H02.3,Zwiotczenie skóry powiek
H02.4,Opadnięcie powieki
H02.5,Inne zaburzenia wywierające wpływ na czynność powiek
H02.6,Kępki żółte powiek
H02.7,Inne zmiany zwyrodnieniowe powiek i tkanek otaczających gałkę oczną
H02.8,Inne określone zaburzenia powiek
H02.9,Zaburzenia powiek, nieokreślone
H03.0,Inwazja pasożytów do powiek w chorobach sklasyfikowanych gdzie indziej
H03.1,Zajęcie powiek w chorobach zakaźnych sklasyfikowanych gdzie indziej
H03.8,Zajęcie powiek w chorobach sklasyfikowanych gdzie indziej
H04.0,Zapalenie gruczołu łzowego
H04.1,Inne zaburzenia gruczołu łzowego
H04.2,Łzawienie spowodowane zaburzeniami w odpływie łez
H04.3,Zapalenie dróg łzowych ostre i nieokreślone
H04.4,Zapalenie dróg łzowych przewlekłe
H04.5,Zwężenie i niewydolność dróg łzowych
H04.6,Inne zmiany w drogach łzowych
H04.8,Inne zaburzenia narządu łzowego
H04.9,Zaburzenia narządu łzowego, nieokreślone
H05.0,Zapalenie ostre oczodołu
H05.1,Przewlekłe zapalne choroby oczodołu
H05.2,Stany z wytrzeszczem
H05.3,Zniekształcenie oczodołu
H05.4,Zapadnięcie gałki ocznej
H05.5,Ciało obce (stare) w następstwie rany drążącej oczodołu
H05.8,Inne zaburzenia oczodołu
H05.9,Zaburzenia oczodołu, nieokreślone
H06.0,Zaburzenia narządu łzowego w chorobach sklasyfikowanych gdzie indziej
H06.1,Inwazja pasożytów do oczodołu w chorobach sklasyfikowanych gdzie indziej
H06.2,Wytrzeszcz w zaburzeniach czynności tarczycy (E05.-+)
H06.3,Inne zaburzenia oczodołu w chorobach sklasyfikowanych gdzie indziej
H10.0,Śluzowo-ropne zapalenie spojówek
H10.1,Ostre atopowe zapalenie spojówek
H10.2,Inne zapalenie spojówek
H10.3,Ostre zapalenie spojówek, nieokreślone
H10.4,Przewlekłe zapalenie spojówek
H10.5,Zapalenie brzegów powiek i spojówek
H10.8,Inne zapalenia spojówek
H10.9,Zapalenie spojówek, nieokreślone
H11.0,Skrzydlik
H11.1,Zwyrodnienia spojówek i złogi
H11.2,Blizny spojówkowe
H11.3,Wylew spojówkowy
