A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
21.292, Zabiegi w zakresie nosa -> Zabiegi diagnostyczne w zakresie nosa -> Inne zabiegi diagnostyczne nosa -> Rinoskopia środkowa
21.293, Zabiegi w zakresie nosa -> Zabiegi diagnostyczne w zakresie nosa -> Inne zabiegi diagnostyczne nosa -> Rinoskopia tylna
21.299, Zabiegi w zakresie nosa -> Zabiegi diagnostyczne w zakresie nosa -> Inne zabiegi diagnostyczne nosa -> Zabiegi diagnostyczne nosa - inne
21.30, Zabiegi w zakresie nosa -> Lokalne wycięcie zmiany w zakresie nosa -> Wycięcie lub zniszczenie zmiany nosa - nie określone inaczej
21.311, Zabiegi w zakresie nosa -> Lokalne wycięcie zmiany w zakresie nosa -> Miejscowe wycięcie lub zniszczenie zmiany wewnątrznosowej -> Wycięcie polipa nosa
21.319, Zabiegi w zakresie nosa -> Lokalne wycięcie zmiany w zakresie nosa -> Miejscowe wycięcie lub zniszczenie zmiany wewnątrznosowej -> Miejscowe wycięcie lub zniszczenie zmiany wewnątrznosowej - inne
21.32, Zabiegi w zakresie nosa -> Lokalne wycięcie zmiany w zakresie nosa -> Miejscowe wycięcie lub zniszczenie innych zmian nosa
21.38, Zabiegi w zakresie nosa -> Lokalne wycięcie zmiany w zakresie nosa -> Endoskopowe miejscowe wycięcie lub zniszczenie zmiany nosa
21.4, Zabiegi w zakresie nosa -> Resekcja nosa
21.5, Zabiegi w zakresie nosa -> Podśluzówkowe wycięcie przegrody nosowej
21.61, Zabiegi w zakresie nosa -> Wycięcie małżowiny nosa -> Wycięcie małżowiny nosa (diatermia/ krioterapia/ laserochirurgia)
21.62, Zabiegi w zakresie nosa -> Wycięcie małżowiny nosa -> Złamanie małżowiny nosa
21.69, Zabiegi w zakresie nosa -> Wycięcie małżowiny nosa -> Wycięcie małżowiny nosa - inne
21.71, Zabiegi w zakresie nosa -> Nastawienie złamania nosa -> Zamknięte nastawienie złamania nosa
21.72, Zabiegi w zakresie nosa -> Nastawienie złamania nosa -> Otwarte nastawienie złamania nosa
21.81, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Szycie rany nosa
21.821, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Zamknięcie przetoki nosowej -> Wycięcie przetoki nosowo-wargowej
21.822, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Zamknięcie przetoki nosowej -> Wycięcie przetoki nosowo-gardłowej
21.823, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Zamknięcie przetoki nosowej -> Wycięcie przetoki nosowo-ustnej
21.831, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Całkowita rekonstrukcja nosa -> Rekonstrukcja nosa uszypułowanym płatem z ramienia
21.832, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Całkowita rekonstrukcja nosa -> Rekonstrukcja nosa uszypułowanym płatem z czoła
21.841, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Korekcyjna plastyka nosa -> Plastyka przegrody nosowej
21.842, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Korekcyjna plastyka nosa -> Plastyka skośnego nosa
21.851, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Plastyka nosa - powiększenie (uzupełnienie) -> Powiększenie nosa przeszczepem
21.852, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Plastyka nosa - powiększenie (uzupełnienie) -> Powiększenie nosa sztucznym wszczepem
21.861, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Plastyka nosa ograniczona  -> Plastyka nosa płatami nosowo-wargowymi
21.862, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Plastyka nosa ograniczona  -> Plastyka koniuszka nosa
21.87, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Endoskopowa plastyka przegrody nosa
21.881, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Plastyka przegrody nosa - inne -> Zmiażdżenie przegrody nosowej
21.882, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Plastyka przegrody nosa - inne -> Zamknięcie perforacji przegrody
21.891, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Operacje nosa (plastyka/rekonstrukcja) - inne -> Przyszycie amputowanego nosa
21.892, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Operacje nosa (plastyka/rekonstrukcja) - inne -> Korekcyjna plastyka pourazowego zniekształcenia nosa
21.893, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Operacje nosa (plastyka/rekonstrukcja) - inne -> Rekonstrukcja przegrody nosowej z dojścia zewnętrznego
21.899, Zabiegi w zakresie nosa -> Zabiegi naprawcze i plastyczne w zakresie nosa -> Operacje nosa (plastyka/rekonstrukcja) - inne -> Operacje nosa (plastyka/ rekonstrukcja) - inne
21.91, Zabiegi w zakresie nosa -> Inne zabiegi w zakresie nosa -> Uwolnienie zrostów nosowych
21.92, Zabiegi w zakresie nosa -> Inne zabiegi w zakresie nosa -> Odwarstwienie błony śluzowej przegrody nosa
21.98, Zabiegi w zakresie nosa -> Inne zabiegi w zakresie nosa -> Endoskopowe uwolnienie zrostów nosowych
21.99, Zabiegi w zakresie nosa -> Inne zabiegi w zakresie nosa -> Operacje nosa - inne
22.00, Zabiegi w zakresie zatok nosa -> Aspiracja i płukanie zatok nosowych -> Aspiracja/ płukanie zatok nosa - inne
22.01, Zabiegi w zakresie zatok nosa -> Aspiracja i płukanie zatok nosowych -> Punkcja zatoki nosa/ płukanie/ aspiracja
22.02, Zabiegi w zakresie zatok nosa -> Aspiracja i płukanie zatok nosowych -> Aspiracja lub przepłukanie zatoki nosa przez naturalne ujście
22.09, Zabiegi w zakresie zatok nosa -> Aspiracja i płukanie zatok nosowych -> Aspiracja/ przepłukanie zatok nosa - inne
22.11, Zabiegi w zakresie zatok nosa -> Zabiegi diagnostyczne w zakresie zatok nosowych -> Zamknięta igłowa biopsja zatoki nosa
22.12, Zabiegi w zakresie zatok nosa -> Zabiegi diagnostyczne w zakresie zatok nosowych -> Otwarta biopsja zatoki nosa
22.18, Zabiegi w zakresie zatok nosa -> Zabiegi diagnostyczne w zakresie zatok nosowych -> Endoskopowa biopsja zatoki nosa
22.191, Zabiegi w zakresie zatok nosa -> Zabiegi diagnostyczne w zakresie zatok nosowych -> Inne zabiegi diagnostyczne zatok nosa -> Endoskopia zatok nosa bez biopsji
22.199, Zabiegi w zakresie zatok nosa -> Zabiegi diagnostyczne w zakresie zatok nosowych -> Inne zabiegi diagnostyczne zatok nosa -> Zabiegi diagnostyczne zatok nosa - inne
22.2, Zabiegi w zakresie zatok nosa -> Antrotomia przeznosowa
22.311, Zabiegi w zakresie zatok nosa -> Zewnętrzna antrotomia zatoki szczękowej -> Radykalna antrotomia (otwarcie) zatoki szczękowej -> Usunięcie wyściółki zatoki drogą zabiegu Caldwell-Luc`a
22.319, Zabiegi w zakresie zatok nosa -> Zewnętrzna antrotomia zatoki szczękowej -> Radykalna antrotomia (otwarcie) zatoki szczękowej -> Radykalna antrotomia (otwarcie) zatoki szczękowej - inne
22.391, Zabiegi w zakresie zatok nosa -> Zewnętrzna antrotomia zatoki szczękowej -> Inne zewnętrzne otwarcie zatoki szczękowej -> Otwarcie zatoki szczękowej z dostępu Caldwell-Luc`a
22.399, Zabiegi w zakresie zatok nosa -> Zewnętrzna antrotomia zatoki szczękowej -> Inne zewnętrzne otwarcie zatoki szczękowej -> Zewnętrzne otwarcie zatoki szczękowej - inne
22.41, Zabiegi w zakresie zatok nosa -> Otwarcie i wycięcie zatoki czołowej -> Otwarcie zatoki czołowej
22.421, Zabiegi w zakresie zatok nosa -> Otwarcie i wycięcie zatoki czołowej -> Wycięcie zatoki czołowej -> Wycięcie zmiany zatoki czołowej
22.422, Zabiegi w zakresie zatok nosa -> Otwarcie i wycięcie zatoki czołowej -> Wycięcie zatoki czołowej -> Obliteracja zatoki czołowej tkanką tłuszczową
22.429, Zabiegi w zakresie zatok nosa -> Otwarcie i wycięcie zatoki czołowej -> Wycięcie zatoki czołowej -> Wycięcie zatoki czołowej - inne
22.51, Zabiegi w zakresie zatok nosa -> Inne otwarcie zatoki nosa -> Otwarcie komórek sitowych
22.52, Zabiegi w zakresie zatok nosa -> Inne otwarcie zatoki nosa -> Otwarcie zatoki klinowej
22.53, Zabiegi w zakresie zatok nosa -> Inne otwarcie zatoki nosa -> Otwarcie wielu zatok nosa
22.58, Zabiegi w zakresie zatok nosa -> Inne otwarcie zatoki nosa -> Endoskopowe otwarcie wielu zatok nosa
22.59, Zabiegi w zakresie zatok nosa -> Inne otwarcie zatoki nosa -> Otwarcie zatoki nosa - inne
22.61, Zabiegi w zakresie zatok nosa -> Inne wycięcie zatoki nosa -> Wycięcie zmiany zatoki szczękowej z dostępu Caldwell-Luc`a
22.62, Zabiegi w zakresie zatok nosa -> Inne wycięcie zatoki nosa -> Wycięcie zmiany zatoki szczękowej - z innego dostępu
22.63, Zabiegi w zakresie zatok nosa -> Inne wycięcie zatoki nosa -> Wycięcie komórek sitowych
22.64, Zabiegi w zakresie zatok nosa -> Inne wycięcie zatoki nosa -> Usunięcie zatoki klinowej
22.69, Zabiegi w zakresie zatok nosa -> Inne wycięcie zatoki nosa -> Wycięcie zatoki nosa - inne
22.71, Zabiegi w zakresie zatok nosa -> Zabieg naprawczy zatok nosa -> Zamknięcie przetoki zatoki nosa
22.791, Zabiegi w zakresie zatok nosa -> Zabieg naprawczy zatok nosa -> Zabiegi naprawcze zatok nosa - inne -> Rekonstrukcja przewodu zatokowo-nosowego
22.792, Zabiegi w zakresie zatok nosa -> Zabieg naprawczy zatok nosa -> Zabiegi naprawcze zatok nosa - inne -> Zabieg naprawczy kości zatoki dodatkowej
22.91, Zabiegi w zakresie zatok nosa -> Operacje zatok nosa - inne -> Wyłonienie zatoki szczękowej
22.92, Zabiegi w zakresie zatok nosa -> Operacje zatok nosa - inne -> Wytworzenie przetoki zatoki
23.0101 , Stomatologia -> Badanie, orzeczenia, czynności szczegółowe -> Badanie lekarskie stomatologiczne
23.0102, Stomatologia -> Badanie, orzeczenia, czynności szczegółowe -> Badanie lekarskie kontrolne
23.0103, Stomatologia -> Badanie, orzeczenia, czynności szczegółowe -> Porada lekarska
23.0104, Stomatologia -> Badanie, orzeczenia, czynności szczegółowe -> Wydanie orzeczenia lekarskiego
23.0105, Stomatologia -> Badanie, orzeczenia, czynności szczegółowe -> Konsultacja specjalistyczna
23.0106, Stomatologia -> Badanie, orzeczenia, czynności szczegółowe -> Wydanie krótkiego zaświadczenia lub świadectwa
23.02, Stomatologia -> Badanie żywotności zęba
23.0301, Stomatologia -> Rentgenodiagnostyka -> Rentgenodiagnostyka do 2 zdjęć wewnątrzustnych
23.0302, Stomatologia -> Rentgenodiagnostyka -> Rentgenodiagnostyka do 5 zdjęć wewnątrzustnych
23.0303, Stomatologia -> Rentgenodiagnostyka -> Rentgenodiagnostyka do 8 zdjęć wewnątrzustnych
23.0304, Stomatologia -> Rentgenodiagnostyka -> Rentgenodiagnostyka - zdjęcie pantomograficzne z opisem
23.0401, Stomatologia -> Iniekcja leku -> Znieczulenie miejscowe powierzchniowe
23.0402, Stomatologia -> Iniekcja leku -> Znieczulenie miejscowe nasiękowe
23.0403, Stomatologia -> Iniekcja leku -> Znieczulenie przewodowe wewnątrzustne
23.0404, Stomatologia -> Iniekcja leku -> Znieczulenie przewodowe zewnątrzustne
23.05, Stomatologia -> Postępowanie w nagłych przypadkach
23.06, Stomatologia -> Wizyta adaptacyjna -dotyczy pierwszych wizyt małych dzieci
23.07, Stomatologia -> Pilne zabiegi poza godzinami pracy w dni świąteczne lub w domu pacjenta
23.08, Stomatologia -> Instruktaż higieny jamy ustnej
23.0901, Stomatologia -> Inne zabiegi fizykalne -> Balneoterapia lub hydroterapia
23.0902, Stomatologia -> Inne zabiegi fizykalne -> Naświetlanie Sollux
23.0903, Stomatologia -> Inne zabiegi fizykalne -> Jonoforeza nadziąsłowa
23.0904, Stomatologia -> Inne zabiegi fizykalne -> Jonoforeza lub elektrosterylizacja kanału korzeniowego
23.0905, Stomatologia -> Inne zabiegi fizykalne -> Diadynamik 1/2 łuku zębowego
23.0906, Stomatologia -> Inne zabiegi fizykalne -> Hydroterapia
23.0907, Stomatologia -> Inne zabiegi fizykalne -> Laseroterapia biostymulacyjna
23.1001, Stomatologia -> Profilaktyka stomatologiczna -> Indywidualna fluoryzacja metodą kontaktową - za każdy zabieg
23.1002, Stomatologia -> Profilaktyka stomatologiczna -> Fluoryzacja kontaktowa zbiorowa, 1 zabieg u każdego dziecka
23.1003, Stomatologia -> Profilaktyka stomatologiczna -> Zabezpieczenie profilaktyczne bruzd lakiem szczelinowym - za każdy ząb
23.1004, Stomatologia -> Profilaktyka stomatologiczna -> Zabezpieczanie profilaktyczne bruzd innymi materiałami
23.1006, Stomatologia -> Profilaktyka stomatologiczna -> Lakierowanie zębów 1/4 łuku zębowego
23.1007, Stomatologia -> Profilaktyka stomatologiczna -> Leczenie nadwrażliwości zębów w obrębie 1/4 łuku zębowego
23.1008, Stomatologia -> Profilaktyka stomatologiczna -> Impregnacja zębiny
23.1009, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 6. miesiącu życia
23.1010, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 9. miesiącu życia
23.1011, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 12. miesiącu życia
23.1012, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 2. roku życia
23.1013, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 4. roku życia
23.1014, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 5. roku życia
23.1015, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 6. roku życia
23.1016, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 7. roku życia
23.1017, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla dziecka w 10. roku życia
23.1018, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla młodzieży w 12. roku życia
23.1019, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla młodzieży w 13. roku życia
23.1020, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla młodzieży w 16. roku życia
23.1021, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne dla młodzieży w 19. roku życia
23.1022, Stomatologia -> Profilaktyka stomatologiczna -> Profilaktyczne świadczenie stomatologiczne zapobiegające wadom zgryzu
23.1101, Stomatologia -> Leczenie próchnicy zębów -> Leczenie próchnicy powierzchniowej - za każdy ząb
23.1102, Stomatologia -> Leczenie próchnicy zębów -> Całkowite opracowanie ubytku próchnicowego z założeniem podkładu
23.1103, Stomatologia -> Leczenie próchnicy zębów -> Całkowite opracowanie rozległego ubytku próchnicowego z założeniem podwójnego podkładu
23.1104, Stomatologia -> Leczenie próchnicy zębów -> Postępowanie przy próchnicy głębokiej - pośrednie pokrycie miazgi
23.1105, Stomatologia -> Leczenie próchnicy zębów -> Postępowanie przy obnażeniu i skaleczeniu miazgi - bezpośrednie pokrycie miazgi
23.1106, Stomatologia -> Leczenie próchnicy zębów -> Opatrunek leczniczy w zębie stałym
23.1107, Stomatologia -> Leczenie próchnicy zębów -> Opatrunek leczniczy w zębie mlecznym
23.1108, Stomatologia -> Leczenie próchnicy zębów -> Wypełnienie ubytku korony zęba mlecznego
23.1109 , Stomatologia -> Leczenie próchnicy zębów -> Wypełnienie ubytku korony zęba na 1 powierzchni
23.1110, Stomatologia -> Leczenie próchnicy zębów -> Wypełnienie ubytku korony zęba na 2 powierzchniach
23.1111, Stomatologia -> Leczenie próchnicy zębów -> Wypełnienie ubytku korony zęba na 3 powierzchniach
23.1112, Stomatologia -> Leczenie próchnicy zębów -> Wypełnienie ubytku korony zęba na więcej niż 3 powierzchniach
23.1201, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Trepanacja martwego zęba z zaopatrzeniem ubytku opatrunkiem
23.1202, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Dewitalizacja miazgi zęba z zaopatrzeniem ubytku opatrunkiem
23.1203, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Amputacja przyżyciowa miazgi w zębie z nieuformowanym korzeniem
23.1204, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Amputacja przyżyciowa miazgi
23.1205, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Ekstyrpacja przyżyciowa miazgi w zębie z nieuformowanym korzeniem
23.1206, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Ekstyrpacja przyżyciowa miazgi
23.1207, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Amputacja zdewitalizowanej miazgi zęba
23.1208, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Ekstyrpacja zdewitalizowanej miazgi zęba z nieuformowanym korzeniem
23.1209, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Ekstyrpacja zdewitalizowanej miazgi zęba
23.1210, Stomatologia -> Inne zabiegi stomatologii zachowawczej -> Amputacja zdewitalizowanej miazgi zęba mlecznego
23.1301, Stomatologia -> Leczenie kanałowe -> Całkowite opracowanie i dezynfekcja kanału
23.1302, Stomatologia -> Leczenie kanałowe -> Leczenie zgorzeli
23.1303, Stomatologia -> Leczenie kanałowe -> Leczenie zgorzeli całkowitej niepowikłanej zęba z nieuformowanym korzeniem
23.1304, Stomatologia -> Leczenie kanałowe -> Dodatkowe fizykochemiczne metody udrażniania i opracowywania kanału
23.1305, Stomatologia -> Leczenie kanałowe -> Ponowne udrożnienie wypełnionego kanału
23.1306, Stomatologia -> Leczenie kanałowe -> Czasowe wypełnienie kanału
23.1307, Stomatologia -> Leczenie kanałowe -> Wypełnienie kanału
23.1308, Stomatologia -> Leczenie kanałowe -> Leczenie endodontyczne z wypełnieniem 2 kanałów
23.1309, Stomatologia -> Leczenie kanałowe -> Leczenie endodontyczne z wypełnieniem 3 kanałów
23.1310, Stomatologia -> Leczenie kanałowe -> Leczenie endodontyczne metodą amputacyjno-ekstyrpacyjną
23.1311, Stomatologia -> Leczenie kanałowe -> Leczenie endodontyczne zęba z wypełnieniem 1 kanału ze zgorzelą miazgi
23.1312, Stomatologia -> Leczenie kanałowe -> Leczenie endodontyczne zęba z wypełnieniem 2 kanałów ze zgorzelą miazgi
23.1313, Stomatologia -> Leczenie kanałowe -> Leczenie endodontyczne zęba z wypełnieniem 3 kanałów ze zgorzelą miazgi
23.14, Stomatologia -> Szczególne trudności w preparowaniu/ wypełnianiu zębów - usunięcie przerośniętej brodawki międzyzębowej, zatamowanie krwawienia z brodawki, separowanie zębów itp.
